category,Brand,title,price,original-price,id,f-Assured,Free delivery,Special Offer,Sorted by,start_url
bag,,EMMCRAZ Sports Waist Bag for Men & Women Waist Bag (Bla...,215,499,WSBG8VFEUFZFGYGF,f_Assured,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
bag,,Alyan Leather Casual Unisex Travelling & Sports Waist B...,165,499,WSBGDEFVFQ4ZHHVQ,,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
bag,,EMMCRAZ Sports Waist Bag for Men & Women Waist Bag ( Gr...,129,499,WSBGAF62DMRCARHM,,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
bag,,EMMCRAZ Sports Waist Bag for Men & Women Waist Bag ( Gr...,129,499,WSBGAF6ERWMMEAQF,,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
bag,,EMMCRAZ Sports Waist Bag for Men & Women Waist Bag ( Bl...,129,499,WSBGAF6QJBAFZG2G,,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
bag,HAZEL,15 L Gym Duffel Bag - SPORT/GYM FITNESS KIT BAG FOR UNI...,255,799,DFBG9CRCG7NBP8BJ,f_Assured,,,price_asc,https://www.flipkart.com/search?q=bag&sort=price_asc
shirt ,R V DIGITAL PRINT,Men Regular Fit Striped Casual Shirt,249,899,SHTGDCZSXRYGZD3X,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,INDIA INC.,Women Regular Fit Solid Casual Shirt,133,399,SHTF7JHHDZGMHGBF,,,"Buy 2 items, save extra 5%",price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R V DIGITAL PRINT,Men Regular Fit Printed Party Shirt,199,899,SHTGEJGEFER3KQYZ,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,MansiCollections,Women Regular Fit Solid Tie up Collar Casual Shirt,118,999,SHTG6VTDGY4VCZMF,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R TAZE,Girls Regular Fit Printed Spread Collar Casual Shirt,199,"1,999",SHTG5KF4KZTHQ743,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,TRANDZISH,Men Regular Fit Solid Casual Shirt,159,599,SHTGEHPSUN52XGJZ,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
